subject_code,subject_name,subject_description,units_lec,units_lab,prerequisite_1,prerequisite_2,prerequisite_3
GE111,Understanding the Self,,3,0,,,
GE112,Readings in Philippine History,,3,0,,,
GE113,Ethics,,3,0,,,
NSTP1,NSTP1,,3,0,,,
PE1,Physical Fitness,,2,0,,,
ITE111,Introduction to Computing,,3,0,,,
CSP111,Discrete Structure 1,,3,0,,,
GE124,The Contemporary World,,3,0,,,
NSTP2,NSTP2,,3,0,4,,
PE2,Rythmic Activities,,2,0,5,,
ITE122,Computer Programming 1 - PLF/C,,3,1,6,,
CSP122,Discrete Structure 2,,3,0,7,,
CSP123,Networks and Communication,,3,0,6,,
GE135,Purposive Communication,,3,0,,,
PE3,Individual & Dual Sports,,2,0,10,,
ILB131,Application Project 1 - Innovation,,2,1,,14,
ITE133,Computer Programming 2 -  Java,,3,1,11,,
CSP134,Operating System,,3,0,13,,
IT131,Cloud Computing,,3,0,6,17,
GE211,Mathematics in the Modern World,,3,0,,,
GE212,Komunikasyon sa Akademikong Filipino,,3,0,,,
PE4,Team Sports,,2,0,15,,
CSP211,Architecture and Organization,,3,0,,,
ITE211,Data Structures and Algorithms,,3,1,17,,
ITE212,Application Development and Emerging,,3,0,17,23,
GE224,"Science, Technology and Society",,3,0,,,
GE225,Panitikan,,3,0,,,
CSP222,Modelling and Simulation,,3,0,6,20,
CSP223,Object Oriented Programming 1,,3,1,24,,
CSP224,Algorithms and Complexity,,3,0,24,,
ITE223,Information Management ,,3,0,17,,
GE236,World Literature,,3,0,,,
CS232,Object Oriented Programming 2,,3,1,29,,
CSP236,Programming Languages,,3,0,18,30,
CSP311,Automata Theory and Formal Language,,3,0,35,,
CSP313,Software Engineering 1,,3,0,35,,
CSP312,Social and Professional Issues,,3,0,,,
CSELE1,CS Elective 1,,2,1,,37,
GE321,Art Appreciation,,3,0,,,
CS324,Software Engineering 2,,3,0,37,,
CSP315B,Thesis B,,3,0,39,,
