subject_code,subject_name,subject_description,units_lec,units_lab,prerequisite_1,prerequisite_2,prerequisite_3
GE111,Understanding the Self,,3,0,,,
GE112,Readings in Philippine History,,3,0,,,
GE113,Ethics,,3,0,,,
NSTP1,NSTP 1,,3,0,,,
PE1,Physical Fitness,,2,0,,,
ITE111,Introduction to Computing,,3,0,,,
CSP111,Discrete Structure 1,,3,0,,,
GE124,The Contemporary World,,3,0,,,
NSTP2,NSTP 2,,3,0,,,
PE2,Rythmic Activities,,2,0,,,
ITE122,Computer Programming 1 - PLF/C,,3,1,,,
CSP122,Discrete Structure 2,,3,0,,,
CSP123,Networks and Communication,,3,0,,,
GE135,Purposive Communication,,3,0,,,
PE3,Individual & Dual Sports,,2,0,,,
ILB131,Application Project 1 - Innovation,,2,1,,,
ITE133,Computer Programming 2 -  Java,,3,1,,,
CSP134,Operating System,,3,0,,,
IT131,Cloud Computing,,3,0,,,
GE211,Mathematics in the Modern World,,3,0,,,
GE212,Komunikasyon sa Akademikong Filipino,,3,0,,,
PE4,Team Sports,,2,0,,,
CSP211,Architecture and Organization,,3,0,,,
ITE211,Data Structures and Algorithms,,3,1,,,
ITE212,Application Development and Emerging,,3,0,,,
GE224,"Science, Technology and Society",,3,0,,,
GE225,Panitikan,,3,0,,,
CSP222,Modelling and Simulation,,3,0,,,
CSP223,Object Oriented Programming 1,,3,1,,,
CSP224,Algorithms and Complexity,,3,0,,,
ITE223,Information Management ,,3,0,,,
GE236,World Literature,,3,0,,,
CS232,Object Oriented Programming 2,,3,1,,,
ILB231,Application Project 2-Open Sourcing Learning,,2,1,,,
CSP236,Programming Languages,,3,0,,,
CSP235,Information Assurance Security,,3,0,,,
MA231,Statistics and Probability,,3,0,,,
CSP311,Automata Theory and Formal Language,,3,0,,,
CSP313,Software Engineering 1,,3,0,,,
CSP312,Social and Professional Issues,,3,0,,,
CSP315A,Thesis A,,3,0,,,
CS314,Human Computer Interaction,,3,0,,,
CSELE1,CS ELECTIVE 1,,2,1,,,
CS315,Compiler Design,,3,0,,,
GE321,Art Appreciation,,3,0,,,
CS324,Software Engineering 2,,3,0,,,
CSP315B,Thesis B,,3,0,,,
CSELE2,CS Elective 2,,2,1,,,
GE331,Rizal's Life and Works,,3,0,,,
CSELE3,CS Elective 3,,2,1,,,
OJT331A,On the Job Training A: Pre-Internship (100 hrs),,1,0,,,
OJT331B,On the Job Training B: Internship (400hrs),,5,0,,,
CSELE1-M,Pheumatics ,,2,1,,,
CSELEC2-M,Electro Pheumatics,,2,1,,,
CSELE3-M,Hydraulics,,2,1,,,
CSELE1-DS,Introduction to Intelligent Systems and Concepts,,2,1,,,
CSELE2-DS,Principles of Machine Learning and Data Mining,,2,1,,,
CSELE3-DS,Natural Language Processing,,2,1,,,
CSLE1-10T,"Logic Circuits 2 (Physics , Basic Electronics)",,2,1,,,
CSELE2-10T,Embedded System (Arduino),,2,1,,,
CSELE3-10T,"System on Chip (Raspberry PI,Banana PI)",,2,1,,,
BA111,Marketing management,,3,0,,,
BA112,Fundamentals of Accounting,,3,0,,,
BA211,Strategic Management,,3,0,,,
ILB212,Application Project 2 - Concept Paper,,2,1,,,
BA212,Good Governance & Social Responsibility,,3,0,,,
BA311,Business Analytics,,3,3,,,
BA312,Advertising with IMC,,3,0,,,
BAST2,Intro to Web Development,,2,1,,,
BAST1,Multimedia,,2,1,,,
BA313,Feasibility Study,,3,1,,,
